1,1,"""Intermediate Arm Workouts""","""Includes workouts for biceps, shoulders, and back""",0
2,1,"""Intermediate Leg Workouts""","""Never skip leg day with this set of powerful leg exercises""",0
3,8,"""Advanced Arm Workouts""","""Includes workouts for biceps, shoulders, and back""",1
4,22,"""Advanced Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",1
5,3,"""Beginner Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",1
6,2,"""Beginner Arm Workouts""","""Includes workouts for biceps, shoulders, and back""",0
7,7,"""Beginner Leg Workouts""","""Never skip leg day with this set of powerful leg exercises""",1
8,20,"""Beginner Arm Workouts""","""Includes workouts for biceps, shoulders, and back""",0
9,7,"""Advanced Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",0
10,14,"""Beginner Leg Workouts""","""Never skip leg day with this set of powerful leg exercises""",1
11,19,"""Intermediate Leg Workouts""","""Never skip leg day with this set of powerful leg exercises""",1
12,25,"""Endurance Training""","""This full body HIIT workout is designed to get your heart rate up and work all major muscle groups. """,1
13,23,"""Beginner Core Workouts""","""Packed with activities that will actually target those abdominals""",1
14,9,"""Advanced Arm Workouts""","""Includes workouts for biceps, shoulders, and back""",0
15,25,"""Advanced Leg Workouts""","""Never skip leg day with this set of powerful leg exercises""",0
16,3,"""Beginner Core Workouts""","""Packed with activities that will actually target those abdominals""",0
17,12,"""Active Recovery""","""Recovering from an injury or wanting to improve general fitness? Try this routine!""",0
18,20,"""Intermediate Leg Workouts""","""Never skip leg day with this set of powerful leg exercises""",0
19,24,"""Intermediate Core Workouts""","""Packed with activities that will actually target those abdominals""",0
20,4,"""Beginner Core Workouts""","""Packed with activities that will actually target those abdominals""",1
21,18,"""Intermediate Leg Workouts""","""Never skip leg day with this set of powerful leg exercises""",0
22,12,"""Beginner Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",1
23,23,"""Intermediate Arm Workouts""","""Includes workouts for biceps, shoulders, and back""",1
24,22,"""Beginner Leg Workouts""","""Never skip leg day with this set of powerful leg exercises""",0
25,3,"""Active Recovery""","""ecovering from an injury or wanting to improve general mobility? Try this routine!""",0
26,4,"""Beginner Core Workouts""","""Packed with activities that will actually target those abdominals""",1
27,15,"""Intermediate Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",1
28,6,"""Advanced Leg Workouts""","""Never skip leg day with this set of powerful leg exercises""",0
29,7,"""Intermediate Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",0
30,23,"""Intermediate Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",0
31,20,"""Intermediate Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",0
32,18,"""Advanced Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",0
33,6,"""Intermediate Core Workouts""","""Packed with activities that will actually target those abdominals""",0
34,9,"""Intermediate Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",0
35,8,"""Intermediate Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",0
36,25,"""Endurance Training""","""This full body HIIT workout is designed to get your heart rate up and work all major muscle groups. """,1
37,8,"""Active Recovery""","""ecovering from an injury or wanting to improve general mobility? Try this routine!""",0
38,11,"""Beginner Core Workouts""","""Packed with activities that will actually target those abdominals""",1
39,3,"""Beginner Leg Workouts""","""Never skip leg day with this set of powerful leg exercises""",1
40,23,"""Advanced Leg Workouts""","""Never skip leg day with this set of powerful leg exercises""",1
41,21,"""Intermediate Core Workouts""","""Packed with activities that will actually target those abdominals""",1
42,21,"""Intermediate Core Workouts""","""Packed with activities that will actually target those abdominals""",1
43,9,"""Advanced Arm Workouts""","""Includes workouts for biceps, shoulders, and back""",1
44,24,"""Advaned Core Workouts""","""Packed with activities that will actually target those abdominals""",1
45,9,"""Advanced Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",0
46,14,"""Beginner Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",1
47,12,"""Beginner Leg Workouts""","""Never skip leg day with this set of powerful leg exercises""",0
48,17,"""Intermediate Core Workouts""","""Packed with activities that will actually target those abdominals""",0
49,25,"""Beginner Arm Workouts""","""Includes workouts for biceps, shoulders, and back""",1
50,5,"""Intermediate Shoulders and Biceps""","""Includes workouts for biceps, shoulders, and back""",0
